Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Number of Channels","Resolution (Bits)","Sampling Rate (Per Second)","Data Interface","Voltage Supply Source","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Grade","Qualification"
"https://www.akm.com/content/dam/documents/products/audio/audio-dac/ak4458vn/ak4458vn-en-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/48-VQFN.jpg","974-1082-2-ND,974-1082-1-ND,974-1082-6-ND","AK4458VN","Asahi Kasei Microdevices/AKM","Asahi Kasei Microdevices/AKM","IC DAC/AUDIO 32BIT 768K 48QFN","2,012","7.93","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DAC, Audio","8","32 b","768k","DSD, I2S","Analog and Digital","1.7V ~ 5.5V","-40°C ~ 105°C","Surface Mount","48-VFQFN Exposed Pad","48-QFN (7x7)","-","-"
"https://www.akm.com/content/dam/documents/products/audio/audio-adc/ak5572en/ak5572en-en-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/48-VQFN.jpg","974-1116-2-ND,974-1116-1-ND,974-1116-6-ND","AK5572EN","Asahi Kasei Microdevices/AKM","Asahi Kasei Microdevices/AKM","IC ADC/AUDIO 32BIT 768K 48QFN","2,097","8.82","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","2","32 b","768k","DSD, I2S","Analog and Digital","1.8V, 5V","-40°C ~ 105°C","Surface Mount","48-VFQFN Exposed Pad","48-QFN (7x7)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fpcm4202","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2330/296%3B4040065%3BDB%3B28.jpg","296-41379-2-ND,296-41379-1-ND,296-41379-6-ND","PCM4202DBR","Texas Instruments","Texas Instruments","IC ADC/AUDIO 24BIT 216K 28SSOP","3,010","8.83","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","2","24 b","216k","DSP, PCM","Analog and Digital","1.65V ~ 3.6V, 5V","-10°C ~ 70°C","Surface Mount","28-SSOP (0.209"", 5.30mm Width)","28-SSOP","-","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/389/48-LQFP.jpg","974-AK4493SEQTR-ND,974-AK4493SEQCT-ND,974-AK4493SEQDKR-ND","AK4493SEQ","Asahi Kasei Microdevices/AKM","Asahi Kasei Microdevices/AKM","IC DAC/AUDIO 32BIT 768K 48LQFP","151","8.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Audio","2","32 b","768k","DSD, PCM","Dual Supply","1.7V ~ 1.98V, 3V ~ 3.6V, 4.75V ~ 5.25V, 1.7V ~ 1.98V, 3V ~ 3.6V, 4.75V ~ 5.25V","-40°C ~ 85°C","Surface Mount","48-LQFP","48-LQFP (7x7)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Famc1305m05-q1","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/55/296%7E4221009%7EDW%7E16.jpg","296-45497-2-ND,296-45497-1-ND,296-45497-6-ND","AMC1305M25QDWRQ1","Texas Instruments","Texas Instruments","IC ISOLATED MOD 16BIT 78K 16SOIC","4,532","9.42","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Isolated Module","1","16 b","78k","CMOS, Serial","Analog and Digital","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","Automotive","AEC-Q100"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftlv320adc6140","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/698/296%7E4206244%7ERTW%7E24.JPG","296-TLV320ADC6140IRTWRTR-ND,296-TLV320ADC6140IRTWRCT-ND,296-TLV320ADC6140IRTWRDKR-ND","TLV320ADC6140IRTWR","Texas Instruments","Texas Instruments","IC ADC AUDIO 768K 24WQFN","7,367","9.64","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","4","-","768k","I2C, SPI","Analog and Digital","1.7V ~ 3.6V, 1.65V ~ 3.6V","-40°C ~ 125°C (TA)","Surface Mount","24-WFQFN Exposed Pad","24-WQFN (4x4)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5592R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1163/505;-CP-16-32;-CP;-16.jpg","505-AD5592RBCPZ-1-RL7TR-ND,505-AD5592RBCPZ-1-RL7CT-ND,505-AD5592RBCPZ-1-RL7DKR-ND","AD5592RBCPZ-1-RL7","Analog Devices Inc.","Analog Devices Inc.","IC ADC/DAC 12BIT 400K 16LFCSP","8,137","9.69","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, DAC","8","12 b","400k","SPI","Single Supply","2.7V ~ 5.5V","-40°C ~ 105°C","Surface Mount","16-WFQFN, CSP","16-LFCSP-WQ (3x3)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5593R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/904/505%3BCB-16-3%3BCB%3B16.jpg","505-AD5593RBCBZ-RL7TR-ND,505-AD5593RBCBZ-RL7CT-ND,505-AD5593RBCBZ-RL7DKR-ND","AD5593RBCBZ-RL7","Analog Devices Inc.","Analog Devices Inc.","IC ADC/DAC 12BIT 16WLCSP","2,850","9.69","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, DAC","8","12 b","-","I2C","Analog and Digital","1.8V ~ 5.5V","-40°C ~ 105°C","Surface Mount","16-UFBGA, WLCSP","16-WLCSP (1.96x1.96)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5593R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1163/505%3B-CP-16-32%3B-CP%3B-16.jpg","505-AD5593RBCPZ-RL7TR-ND,505-AD5593RBCPZ-RL7CT-ND,505-AD5593RBCPZ-RL7DKR-ND","AD5593RBCPZ-RL7","Analog Devices Inc.","Analog Devices Inc.","IC ADC/DAC 12BIT 16LFCSP","2,302","9.69","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, DAC","8","12 b","-","I2C","Analog and Digital","1.8V ~ 5.5V","-40°C ~ 105°C","Surface Mount","16-WFQFN, CSP","16-LFCSP-WQ (3x3)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5593R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5534/505%7ERU-16%7ERU%7E16.jpg","AD5593RBRUZ-RL7TR-ND,AD5593RBRUZ-RL7CT-ND,AD5593RBRUZ-RL7DKR-ND","AD5593RBRUZ-RL7","Analog Devices Inc.","Analog Devices Inc.","IC ADC/DAC 12BIT 16TSSOP","4,212","9.88","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, DAC","8","12 b","-","I2C","Analog and Digital","1.8V ~ 5.5V","-40°C ~ 105°C","Surface Mount","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5592R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5534/505%7ERU-16%7ERU%7E16.jpg","505-AD5592RBRUZ-RL7TR-ND,505-AD5592RBRUZ-RL7CT-ND,505-AD5592RBRUZ-RL7DKR-ND","AD5592RBRUZ-RL7","Analog Devices Inc.","Analog Devices Inc.","IC 12BT OCTAL SPI DAC/ADC ONCHIP","196","9.88","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, DAC","8","12 b","400k","SPI","Single Supply","2.7V ~ 5.5V","-40°C ~ 105°C","Surface Mount","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fpcm4202","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1011/296-28-SSOP.jpg","296-17438-2-ND,296-17438-1-ND,296-17438-6-ND","PCM4202DBT","Texas Instruments","Texas Instruments","IC ADC/AUDIO 24BIT 216K 28SSOP","997","10.76","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","2","24 b","216k","DSP, PCM","Analog and Digital","1.65V ~ 3.6V, 5V","-10°C ~ 70°C","Surface Mount","28-SSOP (0.209"", 5.30mm Width)","28-SSOP","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5423.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/22/505;CP-32-12;CP;32.jpg","505-AD5423BCPZ-RL7TR-ND,505-AD5423BCPZ-RL7CT-ND,505-AD5423BCPZ-RL7DKR-ND","AD5423BCPZ-RL7","Analog Devices Inc.","Analog Devices Inc.","1 CHANNEL;16-BIT 4TO20 MA; VOUT","66","11.18","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DAC","1","16 b","-","SPI","Analog and Digital","1.71V ~ 5.5V, 5V ~ 33V","-40°C ~ 115°C","Surface Mount","32-WFQFN Exposed Pad, CSP","32-LFCSP (5x5)","-","-"
"https://www.akm.com/content/dam/documents/products/audio/audio-adc/ak5558vn/ak5558vn-en-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1087/974%3B64QFN-1.0-9x9%3B%3B64.jpg","974-1128-2-ND,974-1128-1-ND,974-1128-6-ND","AK5558VN","Asahi Kasei Microdevices/AKM","Asahi Kasei Microdevices/AKM","IC ADC/AUDIO 32BIT 768K 64QFN","1,724","12.37","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","8","32 b","768k","DSD, PCM","Analog and Digital","1.7V ~ 1.98V, 3V ~ 3.6V, 5V","-40°C ~ 105°C","Surface Mount","64-VFQFN Exposed Pad","64-QFN (9x9)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD7745_7746.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5534/505%7ERU-16%7ERU%7E16.jpg","AD7745ARUZ-REEL7TR-ND,AD7745ARUZ-REEL7CT-ND,AD7745ARUZ-REEL7DKR-ND","AD7745ARUZ-REEL7","Analog Devices Inc.","Analog Devices Inc.","IC CAP TO DGT CONV 24BIT 16TSSOP","1,824","12.85","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Capacitance-to-Digital Converter","1","24 b","-","Serial","Single Supply","2.7V ~ 5.25V","-40°C ~ 125°C","Surface Mount","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP","-","-"
"https://www.akm.com/content/dam/documents/products/audio/audio-adc/ak5574en/ak5574en-en-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/48-VQFN.jpg","974-1117-2-ND,974-1117-1-ND,974-1117-6-ND","AK5574EN","Asahi Kasei Microdevices/AKM","Asahi Kasei Microdevices/AKM","IC ADC/AUDIO 32BIT 768K 48QFN","1,647","12.98","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","4","32 b","768k","DSD, I2S","Analog and Digital","1.8V, 5V","-40°C ~ 105°C","Surface Mount","48-VFQFN Exposed Pad","48-QFN (7x7)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADE7978_7933_7932_7923.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2472/20-SOIC%200.295.jpg","ADE7932ARIZ-RLTR-ND,ADE7932ARIZ-RLCT-ND,ADE7932ARIZ-RLDKR-ND","ADE7932ARIZ-RL","Analog Devices Inc.","Analog Devices Inc.","IC ADC/ENERGY MEAS 20SOIC","274","13.53","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Energy Measurement","3","-","-","I2C, SPI","Single Supply","3.3V ~ 10V","-40°C ~ 85°C","Surface Mount","20-SOIC (0.295"", 7.50mm Width)","20-SOIC-IC","-","-"
"https://statics.cirrus.com/pubs/proDatasheet/CS5351_F3.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2504/598%7E24TSSOP-4%2C4%7E%7E28.jpg","598-CS5351K-KZZRTR-ND,598-CS5351K-KZZRCT-ND,598-CS5351K-KZZRDKR-ND","CS5351K-KZZR","Cirrus Logic Inc.","Cirrus Logic Inc.","IC 24BIT 108DB 192KHZ MULTI-BIT","1,648","14.13","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Not For New Designs","ADC, Audio","2","24 b","192k","I2S, Serial","Analog and Digital","4.75V ~ 5.25V, 3.1V ~ 5.25V","-10°C ~ 70°C","Surface Mount","24-TSSOP (0.173"", 4.40mm Width)","24-TSSOP","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADE7912_7913.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2472/20-SOIC 0.295.jpg","ADE7913ARIZ-RLTR-ND,ADE7913ARIZ-RLCT-ND,ADE7913ARIZ-RLDKR-ND","ADE7913ARIZ-RL","Analog Devices Inc.","Analog Devices Inc.","IC ADC/ENERGY MEAS 24BIT 20SOIC","456","14.25","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","iCoupler®","Active","ADC, Energy Measurement","3","24 b","-","SPI","Single Supply","3.3V","-40°C ~ 85°C","Surface Mount","20-SOIC (0.295"", 7.50mm Width)","20-SOIC-IC","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD7747.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5534/505%7ERU-16%7ERU%7E16.jpg","AD7747ARUZ-REELTR-ND,AD7747ARUZ-REELCT-ND,AD7747ARUZ-REELDKR-ND","AD7747ARUZ-REEL","Analog Devices Inc.","Analog Devices Inc.","IC CAP TO DGT CONV 24BIT 16TSSOP","5,473","14.59","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Capacitance-to-Digital Converter","2","24 b","-","Serial","Single Supply","2.7V ~ 5.25V","-40°C ~ 125°C","Surface Mount","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD7747.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5534/505%7ERU-16%7ERU%7E16.jpg","AD7747ARUZ-REEL7TR-ND,AD7747ARUZ-REEL7CT-ND,AD7747ARUZ-REEL7DKR-ND","AD7747ARUZ-REEL7","Analog Devices Inc.","Analog Devices Inc.","IC CAP TO DGT CONV 24BIT 16TSSOP","154","14.59","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Capacitance-to-Digital Converter","2","24 b","-","Serial","Single Supply","2.7V ~ 5.25V","-40°C ~ 125°C","Surface Mount","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Famc7823","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/416/40-WQFN-RTA.jpg","296-18680-2-ND,296-18680-1-ND,296-18680-6-ND,2156-AMC7823IRTAT-ND","AMC7823IRTAT","Texas Instruments","Texas Instruments,Rochester Electronics, LLC","IC ANLG MON/CTL 12B 200K 40WQFN","272","14.78","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®,Bulk","-","Active","Analog Monitor/Control Circuit","8","12 b","200k","SPI","Analog and Digital","3V, 5V","-40°C ~ 85°C","Surface Mount","40-WFQFN Exposed Pad","40-WQFN (6x6)","-","-"
